is_static,is_enum,uses_variables,call_method,is_interface,is_local_class,full_name
false,false,false,false,false,false,org.mariotaku.twidere.api.twitter.auth.OAuthAuthorization$1
false,false,false,false,false,false,org.mariotaku.twidere.service.StreamingService$1
false,false,false,false,false,false,org.mariotaku.twidere.service.StreamingService$2
false,false,false,false,false,false,org.mariotaku.twidere.preference.NetworkUsageSummaryPreferences$1
false,false,false,false,false,false,org.mariotaku.twidere.util.AsyncTwitterWrapper$GetLocalTrendsTask
false,false,false,false,false,false,org.mariotaku.twidere.util.AsyncTwitterWrapper$GetTrendsTask
false,false,false,false,false,false,org.mariotaku.twidere.service.BackgroundOperationService$1
false,false,false,false,false,false,org.mariotaku.twidere.util.AsyncTwitterWrapper$CreateFriendshipTask
false,false,false,false,false,false,org.mariotaku.twidere.service.BackgroundOperationService$4
false,false,false,false,false,false,org.mariotaku.twidere.service.BackgroundOperationService$5
false,false,false,false,false,false,org.mariotaku.twidere.service.BackgroundOperationService$2
false,false,false,false,false,false,org.mariotaku.twidere.service.BackgroundOperationService$3
false,false,false,false,false,false,org.mariotaku.twidere.util.AsyncTwitterWrapper$ClearNotificationTask
false,false,false,false,false,false,org.mariotaku.twidere.fragment.support.CursorStatusesFragment$2
false,false,false,false,false,false,org.mariotaku.twidere.fragment.support.CursorStatusesFragment$3
false,false,false,false,false,false,org.mariotaku.twidere.fragment.support.CursorStatusesFragment$1
false,false,false,false,false,false,org.mariotaku.twidere.activity.support.QuickSearchBarActivity$1
false,false,false,false,false,false,org.mariotaku.twidere.activity.support.QuickSearchBarActivity$2
false,false,false,false,false,false,org.mariotaku.twidere.fragment.support.UserFollowersFragment$1
false,false,false,false,false,false,org.mariotaku.twidere.service.RefreshService$1
false,false,false,false,false,false,org.mariotaku.twidere.util.AsyncTwitterWrapper$DestroyStatusTask
false,false,false,false,false,false,org.mariotaku.twidere.util.AsyncTwitterWrapper$AcceptFriendshipTask
false,false,false,false,false,false,org.mariotaku.twidere.preference.RingtonePreference$1
false,false,false,false,false,false,org.mariotaku.twidere.fragment.support.AbsActivitiesFragment$StatusesBusCallback
