is_static,is_enum,uses_variables,call_method,is_interface,is_local_class,call_external_method,full_name
false,true,false,false,false,false,false,indrora.atomic.indicator.ConversationTitlePageIndicator$IndicatorStyle
true,false,false,false,false,false,true,indrora.atomic.indicator.ConversationTitlePageIndicator$SavedState
false,false,false,false,false,false,true,indrora.atomic.irc.IRCConnection$java.util.Comparator1
false,false,false,false,false,false,true,indrora.atomic.irc.IRCService$NetworkTransitionHandler
false,false,false,false,false,false,true,indrora.atomic.irc.IRCService$java.lang.Runnable1
false,false,false,false,false,false,true,indrora.atomic.irc.IRCService$java.lang.Thread1
true,false,false,false,false,false,false,indrora.atomic.model.Message$indrora.atomic.model.Creator1
false,true,false,false,false,false,false,indrora.atomic.model.Message$MessageColor
false,false,false,false,false,false,true,indrora.atomic.FirstRunActivity$android.text.Html$ImageGetter1
false,false,false,false,false,false,true,indrora.atomic.FirstRunActivity$android.view.View$OnClickListener2
false,false,false,false,false,false,true,indrora.atomic.FirstRunActivity$android.view.View$OnClickListener3
false,false,false,false,false,false,true,org.jibble.pircbot.DccFileTransfer$java.lang.Thread1
false,false,false,false,false,false,true,org.jibble.pircbot.DccFileTransfer$java.lang.Thread2
false,false,false,false,true,false,false,afzkl.development.colorpickerview.view.ColorPickerView$OnColorChangedListener
false,false,false,false,true,false,false,com.viewpagerindicator.TabPageIndicator$OnTabReselectedListener
false,false,false,false,true,false,false,com.viewpagerindicator.TitlePageIndicator$OnCenterItemClickListener
false,false,false,false,true,false,false,indrora.atomic.indicator.ConversationTitlePageIndicator$OnCenterItemClickListener
